month_year,maxTemp,minTemp,meanTemp,vapPress,cldCover,precipitation
10/1983,12.6,6.4,9.4,10.3,77.2,149.5
11/1983,9.5,4.4,6.9,9.2,84.7,53.8
12/1983,8.1,2.7,5.4,8.2,84,167
01/1984,5.4,-0.2,2.6,6.5,83.1,182.2
02/1984,6.1,1,3.5,6.9,82.7,83.4
03/1984,6.9,1.5,4.1,7,82.6,78.6
04/1984,11.9,2.8,7.4,7.9,63,33
05/1984,13.6,4.8,9.2,9.1,67.3,43.2
06/1984,17.2,9.1,13.1,12.3,73.4,51.6
07/1984,20,10.5,15.2,13.6,66.6,37.6
08/1984,20.3,11.2,15.7,14.7,67.8,57.3
09/1984,15.3,9.2,12.2,12.2,80.6,145.7
10/1984,13.1,6.7,9.9,10.9,77.7,154.9
11/1984,9.4,4.7,7.1,9.2,83.9,190.7
12/1984,7.7,2.4,5,8.1,83.3,122.3
01/1985,3.5,-1.9,0.8,5.8,82.5,86.4
02/1985,5.5,-0.4,2.5,6.4,79.3,38.6
03/1985,7.2,0.7,3.9,7,77.3,89.2
04/1985,10.9,3.9,7.3,8.5,77.3,89
05/1985,13.5,6,9.7,9.8,75.4,74
06/1985,15.3,7.7,11.5,11.1,77.3,90.1
07/1985,18,10.9,14.4,13.9,77.4,115.2
08/1985,16.5,10.1,13.3,13,80.9,157.3
09/1985,16.3,9.4,12.8,12.9,77.6,122.5
10/1985,13.4,7.1,10.2,11,78.2,59.4
11/1985,6.5,0.5,3.5,6.8,79.2,113.8
12/1985,7.8,2.9,5.3,8.4,86.7,158.8
01/1986,5.5,0.3,2.9,6.6,83.6,157.9
02/1986,1.9,-2.9,-0.5,4.9,84.1,18
03/1986,7.8,1.2,4.4,7.2,76.6,113.7
04/1986,8.4,1.6,5,7.2,77.8,87.6
05/1986,13.4,6.4,9.9,9.9,78.8,117.2
06/1986,17.4,8.9,13.1,12.2,72.4,55.1
07/1986,17.7,10.6,14.1,13.4,78.7,71.5
08/1986,15.8,8.8,12.3,12,79.1,118.4
09/1986,14.7,6.5,10.6,10.8,70.6,37.9
10/1986,13.1,6.7,9.9,10.7,77,119.2
11/1986,10,3.9,6.9,8.9,79.2,158.2
12/1986,7.7,2.3,5,7.9,83.8,205.4
01/1987,3.6,-1.2,1.2,5.9,84.5,51.7
02/1987,6.4,0.3,3.4,6.9,84.2,78.4
03/1987,6.8,0.7,3.7,6.7,80.7,127.2
04/1987,12.6,4.7,8.7,9.4,77.2,70.4
05/1987,13.1,5.3,9.2,9.3,74.3,56.5
06/1987,14.7,7.9,11.3,11.5,81.3,102.9
07/1987,18.1,10.9,14.5,13.8,76.7,94.2
08/1987,17.8,10.6,14.2,13.7,79,94.1
09/1987,15.9,8.8,12.3,12.2,71.8,96.5
10/1987,11.9,5.5,8.7,10,76.7,183.1
11/1987,8.6,3.9,6.2,8.5,83,95.1
12/1987,7.7,2.9,5.3,8.1,86.9,93.8
01/1988,7,2.1,4.5,7.4,84.3,187.6
02/1988,7,1.5,4.2,6.9,79.3,92.6
03/1988,8.3,2.4,5.3,7.6,83.1,138.7
04/1988,10.9,3.6,7.2,8.4,75.9,61.7
05/1988,14.7,6.4,10.5,10.2,70.5,59.1
06/1988,17.4,9.4,13.4,12.5,73.7,38.9
07/1988,16.7,10.5,13.6,13.2,78.2,158.6
08/1988,17.6,10.3,13.9,13.3,77.1,122.1
09/1988,15.5,9,12.2,12.1,77.4,97.9
10/1988,12.6,6.7,9.6,10.7,77.9,132.7
11/1988,8.9,2.5,5.7,8.1,78,74.1
12/1988,9.4,4.7,7,8.9,88.4,87.3
01/1989,9,3.7,6.3,8.3,84.1,100.2
02/1989,8.3,2.2,5.2,7.5,78.6,149.7
03/1989,9.7,2.8,6.2,8.1,79.6,128.5
04/1989,9.3,2.4,5.8,7.6,75.4,83.1
05/1989,16,6.7,11.3,10.5,62.2,35.6
06/1989,17.6,8.3,12.9,11.6,68,66.9
07/1989,20.9,11.5,16.2,14.4,63.1,45.4
08/1989,18.9,10.8,14.8,13.5,70,109.7
09/1989,16.5,9.2,12.9,12.4,78.6,66.1
10/1989,13.8,7.8,10.8,11.1,81.7,142.4
11/1989,9.1,3.5,6.3,8.3,78.1,62.7
12/1989,6.7,1.4,4,7.4,86.5,128.4
01/1990,8.4,3.2,5.8,8.2,84.9,178
02/1990,8.8,3.4,6.1,7.9,83.3,208.9
03/1990,10.5,4.2,7.3,8.4,79.3,102
04/1990,11.5,3,7.2,8.1,66,66.4
05/1990,16.1,6.7,11.3,10.5,65.3,39.5
06/1990,16.1,8.9,12.5,11.8,81,102.5
07/1990,19.6,10.6,15.1,13.3,59.8,52.5
08/1990,20.1,11.9,15.9,14.5,72.6,77.5
09/1990,15.7,8.1,11.9,11.3,76.1,93.1
10/1990,13.4,8,10.7,11.1,79.7,162.8
11/1990,8.8,3.7,6.3,8.5,81.3,91.6
12/1990,6.7,1.6,4.1,7.2,85.3,144.9
01/1991,5.7,0.5,3.1,6.6,80.6,117.8
02/1991,4.9,-0.9,2,6.3,82.4,77.9
03/1991,10,3.7,6.8,8.7,84,102.3
04/1991,10.7,3.7,7.2,8,74,92
05/1991,13.8,6.3,10,9.9,79.8,24.8
06/1991,14.6,7.5,11.1,10.9,79.5,106.3
07/1991,19.4,12.1,15.7,15,74.3,81.2
08/1991,19.8,11.4,15.6,14.5,70.1,44.9
09/1991,17.5,8.9,13.2,12.5,68.9,89.7
10/1991,12.1,6.6,9.3,10.3,81.3,114.6
11/1991,9,3.4,6.2,8.4,84.3,147.9
12/1991,7.6,2,4.7,7.7,85.3,92.4
01/1992,6.7,1.2,3.9,7.3,86,92.8
02/1992,8.2,2.2,5.1,7.6,86,93.8
03/1992,9.2,3.5,6.3,8.2,86.2,135.4
04/1992,10.9,4.2,7.5,8.5,82.1,93
05/1992,16.5,7.3,11.9,11.1,60.2,58.7
06/1992,18.7,9.8,14.2,12.7,72,43.1
07/1992,18.3,11.1,14.6,13.6,76.5,89.1
08/1992,17.5,10.3,13.9,13.1,75.3,165.8
09/1992,15.1,8.9,12,12.1,81.7,130.2
10/1992,10.3,4,7.1,8.6,79.7,105.4
11/1992,9.7,3.5,6.6,8.6,85.1,174.5
12/1992,6.3,1,3.6,7.2,88.3,112.6
01/1993,8,2.1,5,7.6,90.6,192.1
02/1993,7.3,2.7,5,7.7,90.2,34.4
03/1993,9.1,2.5,5.8,7.6,80.1,60.2
04/1993,11.6,5,8.3,9.3,81,105.8
05/1993,13.9,6.4,10.1,10,78.7,103
06/1993,16.9,9.2,13.1,12.5,77.1,77.2
07/1993,17.1,10.2,13.6,13,77.9,93.4
08/1993,17.1,9.3,13.2,12.5,75.5,64.8
09/1993,14.9,8,11.4,11.6,81.4,100.9
10/1993,10.7,4.7,7.6,9,78.1,118.5
11/1993,7.4,2,4.7,7.6,81.8,83.8
12/1993,6.8,1.7,4.2,7.4,88.6,202.9
01/1994,6.9,1.7,4.3,7.3,86.4,164.7
02/1994,5.4,0.4,2.9,6.5,86.3,103.3
03/1994,9,3.1,6,7.9,80.1,155.2
04/1994,10.5,3.4,6.9,8.2,72.9,100
05/1994,13.3,5.6,9.4,9.2,76.6,49.8
06/1994,16.6,8.8,12.7,11.6,73.2,64.6
07/1994,20,11.3,15.6,14.5,70.3,60.8
08/1994,18,10.6,14.3,13.4,77.3,88.2
09/1994,14.9,8.5,11.7,11.6,79.3,108.4
10/1994,12.6,6,9.3,10.1,74.7,109.3
11/1994,11.5,6.7,9.1,10.5,85.7,122.2
12/1994,8.5,2.9,5.7,8.2,84.7,185.9
01/1995,7,1.1,4,7.1,86.8,192.3
02/1995,8.1,2.5,5.3,7.6,82.5,147.5
03/1995,7.9,1.1,4.5,6.9,74.4,100.3
04/1995,11.4,3.9,7.6,8.4,74.5,43.3
05/1995,14.5,5.9,10.2,9.8,73.9,62.5
06/1995,17.4,8.7,13,11.5,67.2,31.5
07/1995,20.8,11.8,16.3,14.8,68.4,62.5
08/1995,22,12,17,14.8,53.6,19.6
09/1995,16.1,9.1,12.6,12.5,76,149.5
10/1995,15.1,8.6,11.8,12.1,75.8,135.7
11/1995,10.1,4.5,7.3,9.2,81.2,113.3
12/1995,4.8,0,2.4,6.5,84,95.4
01/1996,6.4,2.6,4.5,7.6,92.9,79.3
02/1996,5.6,-0.2,2.7,6.2,79,108
03/1996,6.6,1.6,4.1,6.8,87.1,58.4
04/1996,11.3,3.9,7.6,8.6,79.4,80.3
05/1996,12.2,4.2,8.2,8.6,71.6,66.6
06/1996,17.4,8.4,12.9,11.5,66.7,40.2
07/1996,18.8,10.3,14.5,13.1,70.9,61.3
08/1996,19,11.1,15,13.9,74.6,84.1
09/1996,16.4,9.1,12.7,12,71,44.1
10/1996,13.7,7.6,10.6,11,78.7,152.3
11/1996,8.2,2.3,5.2,7.8,77.2,162.2
12/1996,5.3,0.7,3,6.7,84.2,88.7
01/1997,5.2,0.2,2.7,6.8,87.2,30.3
02/1997,8.5,2.6,5.6,7.8,83.8,165.1
03/1997,10.6,3.8,7.2,8.6,77.9,67.9
04/1997,12.1,4.1,8.1,8.6,75.4,43.2
05/1997,14.5,6,10.2,10.1,66.9,96.6
06/1997,16.1,9.2,12.6,11.8,79.1,126.6
07/1997,19.3,11,15.1,14.3,68.4,69.3
08/1997,21,12.9,16.9,15.7,69.4,86.4
09/1997,16.6,9.1,12.8,12.3,71.6,61.7
10/1997,13.1,6.3,9.7,10.3,73.6,80.6
11/1997,10.5,5.6,8,10,87,146.2
12/1997,7.9,3.3,5.6,8.3,88.3,152.7
01/1998,7.2,2.3,4.7,7.5,86.7,153.1
02/1998,9.6,4,6.7,8.6,84.2,69.9
03/1998,9.8,3.9,6.9,8.5,86.4,114.2
04/1998,10,3.6,6.8,8.2,76.6,122.3
05/1998,15.5,7.4,11.4,10.8,73.4,43.9
06/1998,16,9.1,12.6,12.2,77.8,122.6
07/1998,17.3,10.7,14,13.2,78.9,103.1
08/1998,18.3,10.6,14.4,13.5,70.6,77.6
09/1998,16.6,10.3,13.4,13.4,78.5,100
10/1998,12.1,6.6,9.3,10,76.9,203.3
11/1998,8.5,3,5.7,8.1,78.9,134.7
12/1998,8,2.6,5.2,8.1,89.3,126
01/1999,7.2,2.3,4.7,7.7,85.4,169.7
02/1999,7.1,1.8,4.4,7.2,81.9,85.8
03/1999,9.4,3.2,6.3,8,78.8,87.5
04/1999,11.9,4.8,8.3,9.2,74.3,89.3
05/1999,15,7.7,11.3,10.8,78.2,75.4
06/1999,16.2,8.6,12.4,11.6,74.2,100
07/1999,19.8,11.5,15.6,14.3,65.7,46.6
08/1999,18.5,11.1,14.7,13.7,74.8,95.5
09/1999,17.8,10.7,14.2,13.8,74.7,161
10/1999,13.1,7.1,10.1,10.5,74,95.8
11/1999,9.8,4.5,7.1,8.9,82.3,115.9
12/1999,6.7,1.5,4.1,7.1,85.5,202.5
01/2000,7.2,2,4.5,7.6,84.4,84.4
02/2000,8.1,2.4,5.3,7.6,79.3,123.6
03/2000,9.7,3.3,6.5,8.1,79.3,64
04/2000,10.2,3.4,6.8,8.2,76.3,116.5
05/2000,15.1,6.7,10.9,10.4,64.5,81.5
06/2000,16.6,9.2,12.9,12,75.9,58.1
07/2000,17.7,10.6,14.1,13.2,73.8,55.5
08/2000,19,11.1,15,14.1,70,90.9
09/2000,16.7,10.2,13.4,13.3,80.3,155.4
10/2000,12.5,6.6,9.5,10.2,77.7,202.9
11/2000,8.9,3.7,6.3,8.5,83.3,197.1
12/2000,7.1,2.9,5,8.1,87.3,168.9
01/2001,5.9,0.9,3.4,6.9,79.6,86.5
02/2001,6.6,0.7,3.6,7.1,80.1,112.9
03/2001,7.4,1.5,4.4,7.2,79,95
04/2001,10.2,3.4,6.7,8,77.4,86.3
05/2001,15.7,6.9,11.3,10.5,64,45.1
06/2001,16.3,8.7,12.5,11.4,73.3,58.8
07/2001,18.7,11.2,14.9,13.9,72.4,74.4
08/2001,18.8,11.2,15,14.3,72.7,111.1
09/2001,15.5,9.3,12.4,12.3,79.9,98.2
10/2001,14.7,9.7,12.2,12.5,78.4,163.1
11/2001,9.9,4.5,7.2,9.1,84.3,92.6
12/2001,6.4,1.2,3.8,7.1,79.6,81.6
01/2002,8,3.2,5.5,8.2,88.3,129.2
02/2002,8.3,3.1,5.7,7.9,82.9,164.4
03/2002,9.8,3.2,6.5,8.1,78.7,76.2
04/2002,12.2,4.2,8.2,8.6,68.6,69.8
05/2002,14.4,7.1,10.7,10.4,76.6,94
06/2002,16.8,9.6,13.2,12.2,78.1,95.7
07/2002,17.8,10.7,14.2,13.6,78.2,118.9
08/2002,18.9,11.8,15.3,14.8,77.9,85.1
09/2002,16.9,9.6,13.2,12.5,72.4,47.1
10/2002,11.9,6.2,9,9.9,79.1,194.2
11/2002,10.1,5.6,7.8,9.6,84.4,199.5
12/2002,7,3.2,5.1,8.1,90.2,128.4
01/2003,6.2,1.9,4.1,7.3,81.7,116.2
02/2003,6.8,1,3.9,7,78.9,50.2
03/2003,10.7,3,6.8,8,68.3,57.3
04/2003,13.1,4.8,8.9,8.6,67.3,52.7
05/2003,14.4,6.9,10.6,10.4,78.6,96
06/2003,18.4,10.3,14.3,12.9,72,70.9
07/2003,19.8,12.3,16,14.7,76.3,78.4
08/2003,20.5,12,16.2,14.5,67.1,30.5
09/2003,17.3,9,13.1,12.1,74.1,70.2
10/2003,11.9,5.2,8.5,9.1,72.4,85.6
11/2003,10.2,5.2,7.6,9.5,80.5,129
12/2003,7.2,2.5,4.8,7.9,86.1,124.4
01/2004,6.7,2.6,4.6,7.8,88.2,153
02/2004,7.1,2,4.5,7.4,79.3,65.8
03/2004,9.1,2.7,5.9,7.7,76.8,69.8
04/2004,11.9,5.2,8.5,9.2,79.1,92.6
05/2004,15,6.7,10.8,10.5,71.3,44.8
06/2004,17.6,10,13.8,12.7,74.5,86.1
07/2004,18.1,10.6,14.3,13.2,75.9,72.7
08/2004,19.4,12.4,15.9,15.1,73.6,152.5
09/2004,16.8,10.2,13.5,12.8,73.8,103.6
10/2004,12.2,6.9,9.5,10.3,80,191.9
11/2004,9.6,5.1,7.3,9.3,87.2,82.9
12/2004,7.6,3.2,5.4,8.2,86.5,102.5
01/2005,7.8,3.5,5.6,8,87.4,115.9
02/2005,6.1,1.6,3.8,7,83.6,76.2
03/2005,9.2,3.8,6.4,8.5,83.6,77.1
04/2005,11.6,4.4,7.9,8.7,75.1,95.2
05/2005,13.8,6,9.9,9.6,72.4,76.2
06/2005,17.7,10.1,13.9,13.1,75.9,72.3
07/2005,18.7,11.5,15.1,14,75.5,72.1
08/2005,18.8,10.7,14.7,13.6,70.7,83.9
09/2005,17.2,10.1,13.6,13.2,76.7,92.3
10/2005,14.1,9.1,11.6,12,81.5,164.4
11/2005,8.9,3.5,6.2,8.3,78.6,110.3
12/2005,7.1,2.7,4.9,7.8,86.4,101.3
01/2006,6.4,2.2,4.3,7.5,85.3,54
02/2006,6.3,1.6,3.9,7,83.8,69.4
03/2006,6.9,1.5,4.2,7,83.4,120.1
04/2006,11,3.7,7.3,8.1,73.4,60.3
05/2006,14.4,6.7,10.5,10.2,77.9,109.9
06/2006,18.5,9.9,14.1,12.6,67.3,42.6
07/2006,21.8,12.3,17,15.1,61.3,54.1
08/2006,18.4,11.5,14.9,13.8,80.1,89.4
09/2006,18.4,11.5,14.9,14.5,75.5,113.8
10/2006,14.6,9.1,11.8,12.3,79.6,166.8
11/2006,10.3,4.9,7.6,9,79.4,148.2
12/2006,8,3.8,5.9,8.4,87.8,157.7
01/2007,8.1,3.7,5.9,8.2,86.2,139.7
02/2007,8,2.9,5.4,8.1,84.2,119.8
03/2007,9.8,3.1,6.4,8,71.8,81.7
04/2007,14.5,5.4,9.9,9.7,61.5,25.7
05/2007,14.6,6.9,10.7,10.2,75.6,107.1
06/2007,17.2,10,13.6,13.1,79.3,122.7
07/2007,17.7,10.8,14.3,13.5,77.5,144.9
08/2007,18,10.8,14.3,13.5,74.5,97.4
09/2007,16.2,9,12.6,12.3,79,71.2
10/2007,13.7,7.6,10.6,11.3,77.3,64.5
11/2007,9.9,4.6,7.3,9,86,117.3
12/2007,7.5,2.5,5,7.8,85,115.5
01/2008,7.8,3.1,5.4,8.2,89.6,193.5
02/2008,8.6,2,5.3,7.6,76.6,66.6
03/2008,8.4,2.3,5.3,7.2,79.2,125.5
04/2008,10.9,3.6,7.2,8.2,72,76.9
05/2008,16.4,7.8,12.1,11,71.4,44.6
06/2008,17,9,13,11.8,73.3,89.8
07/2008,19,11.5,15.2,14.2,74.5,110.3
08/2008,18.2,12.1,15.1,14.7,85,147.5
09/2008,15.9,9.2,12.5,12.4,80.8,110.7
10/2008,12.1,5.8,8.9,9.9,76.1,152.9
11/2008,8.8,4.3,6.6,8.8,84.5,109.2
12/2008,6.3,1.4,3.8,7.3,84.1,99.5
01/2009,5.7,1.1,3.4,7.1,84,119.4
02/2009,6.5,1.5,4,7.5,87.4,75.4
03/2009,9.6,2.7,6.1,8,73.6,72.4
04/2009,12.5,5,8.7,9.4,73.5,71.5
05/2009,14.9,6.8,10.8,10.4,71.1,77
06/2009,18,9.3,13.6,12.4,67.6,63.9
07/2009,19,11.5,15.2,14.1,73.6,133.6
08/2009,19,11.6,15.3,14.4,77.7,122.1
09/2009,16.7,9.6,13.1,12.5,76.6,78.1
10/2009,13.6,7.7,10.6,11.3,80.3,132.6
11/2009,10,5.3,7.6,9.3,82.7,238.1
12/2009,5.6,0.8,3.2,7,84.7,125.3
01/2010,3.9,-0.8,1.6,6.3,83.5,90.8
02/2010,4.9,-0.6,2.1,6.5,84.2,92
03/2010,8.7,1.8,5.2,7.4,76.9,90.5
04/2010,12.2,3.6,7.9,8.3,66.4,48.9
05/2010,14,5.4,9.7,9.5,71.1,54.5
06/2010,18.5,9.5,14,12.5,68.6,44
07/2010,19.2,11.7,15.4,14.1,78.2,126.2
08/2010,18.1,10.4,14.2,13.4,77.6,90.8
09/2010,16.4,9.5,12.9,12.6,78.6,128.2
10/2010,12.9,6.7,9.8,10.5,74.5,101.8
11/2010,7.3,2.4,4.8,7.8,81.3,136.7
12/2010,3.3,-2,0.6,5.9,83.4,64
01/2011,5.8,1.1,3.4,7.2,83.1,99.4
02/2011,8,2.8,5.4,8.3,85.9,118.7
03/2011,9.4,2.3,5.8,7.8,76,64.4
04/2011,14.3,5.4,9.9,9.8,62.6,36
05/2011,15,7.2,11.1,9.9,76,88.9
06/2011,16.6,8.6,12.6,11.7,74.7,91.7
07/2011,18,10,13.9,12.7,75.3,79.6
08/2011,17.6,10.4,14,13.1,81.4,110.8
09/2011,16.9,10.4,13.6,13.1,79.6,111.7
10/2011,14,8.2,11,11.5,79.7,133.8
11/2011,11.4,6.3,8.8,10.4,82.5,95.8
12/2011,7.5,2.9,5.2,7.8,90,164.3
01/2012,7.3,2.7,5,7.6,85.5,110.1
02/2012,7.1,2.3,4.7,7.7,85.8,56.7
03/2012,11.5,4.1,7.8,8.6,69.9,40.3
04/2012,10.2,2.9,6.5,8,79,123.5
05/2012,14.5,6.2,10.3,10.1,73.1,63.8
06/2012,15.6,9,12.2,11.9,83.8,144.3
07/2012,17.4,10.4,13.9,13.4,79.7,120.3
08/2012,19,11.6,15.3,14.4,76.8,114.1
09/2012,15.7,8.6,12.1,11.6,75.4,122.2
10/2012,11.7,5.6,8.6,9.8,79,149.6
11/2012,8.6,3.6,6.1,8.4,82.3,142.4
12/2012,6.8,2,4.4,7.7,86.2,188.7
01/2013,6,1.6,3.8,7.4,89.9,121.7
02/2013,5.7,0.6,3.1,6.5,81.1,69.6
03/2013,5.5,0.1,2.8,6,83.7,83.7
04/2013,10.2,2.7,6.4,7.5,71.2,61.6
05/2013,13.4,5.6,9.4,9.4,78.2,87.3
06/2013,16.9,8.9,12.9,11.9,75.8,53.7
07/2013,21.1,12,16.5,14.9,63.9,70.3
08/2013,19.3,11.6,15.4,14.1,77.5,77.3
09/2013,16.4,9.5,12.9,12.5,80.6,79.3
10/2013,13.9,8.7,11.3,11.9,81.9,169
11/2013,8.7,3.5,6.1,8.1,81.5,102.9
12/2013,8.5,3.6,6,8.3,89.2,184.3
01/2014,7.4,2.7,5,7.9,89.3,198.2
02/2014,7.7,2.9,5.3,7.7,82.8,167.4
03/2014,10.2,3.3,6.7,8.2,78.1,82.1
04/2014,12.8,5.7,9.2,9.6,75.3,67.4
05/2014,14.6,7.5,11.1,10.9,82.3,99.9
06/2014,18.1,10.1,14.1,12.8,72.9,59
07/2014,20.5,11.9,16.2,14.7,67.3,68.2
08/2014,17.8,10.4,14.1,12.9,73.6,146.7
09/2014,17.8,10,13.9,13.5,77.5,31.4
10/2014,14.1,8.1,11.1,11.6,81.1,183.3
11/2014,10.4,5.4,7.9,9.8,83.9,160.1
12/2014,7.1,2.5,4.8,7.6,84.5,135.2
01/2015,6.6,1.7,4.1,7.2,83.6,144
02/2015,6.6,1.2,3.9,7.1,82.2,75.3
03/2015,8.9,2.3,5.6,7.4,76.1,89.4
04/2015,12.2,3.3,7.7,8.3,63.2,50
05/2015,13.3,5.9,9.5,9.3,79.7,111.9
06/2015,16.8,8.3,12.6,11.4,72.4,57.5
07/2015,18,10.4,14.2,13.1,77.8,116.3
08/2015,18.4,10.9,14.6,13.8,77,112.3
09/2015,15.8,8.4,12.1,11.7,74,71.8
10/2015,13.3,7,10.2,11,78.8,89.9
11/2015,10.7,5.9,8.3,10,88.7,178.2
12/2015,9.7,5,7.3,9.3,90.7,221.2
01/2016,7.3,2.5,4.9,7.9,89.2,191.3
02/2016,6.8,1.2,4,7,81,113.1
03/2016,8.9,2.4,5.6,7.6,79,93.4
04/2016,10.4,2.9,6.6,7.8,74.3,89.6
05/2016,15.3,7,11.1,10.5,72.3,63.4
06/2016,17.5,10.2,13.8,13.2,80.3,104.4
07/2016,18.8,11.4,15.1,14.2,78,90.6
08/2016,19.3,11.5,15.4,14.4,74.3,79.8
09/2016,17.7,11,14.3,14.1,79.8,106.3
10/2016,13.2,6.8,10,10.6,76.9,63.4
11/2016,8.2,2.7,5.5,8,79.6,114.2
12/2016,8.7,3.9,6.3,8.8,88.2,87
01/2017,6.9,2.1,4.4,7.6,84.8,83.2
02/2017,7.8,2.9,5.3,8.1,87,99.9
03/2017,10.5,4,7.3,8.7,76.3,105.2
04/2017,11.8,4.1,7.9,8.3,75.5,34.7
05/2017,16.3,7.7,12,11.2,70,61
06/2017,18.1,10.4,14.2,13.2,78.6,116.1
07/2017,18.9,11.1,15,13.8,74.6,102.9
08/2017,18.3,11,14.7,13.7,77.1,113.5
09/2017,15.9,9.3,12.6,12.6,81.5,134.8
10/2017,14,8.5,11.2,11.7,83.6,101.4
11/2017,8.8,3.6,6.2,8.3,81.2,127.6
12/2017,7.1,2.4,4.7,7.9,87.1,127.7
01/2018,6.7,2.2,4.4,7.5,86,146.2
02/2018,5.4,-0.2,2.6,6.3,77.8,70.3
03/2018,6.9,1.1,3.9,7,83,125.7
04/2018,11.8,5,8.4,9.2,77.3,86.7
05/2018,16.6,7.2,11.8,11,65.4,52.2
06/2018,19.2,10,14.5,12.7,64,36.1
07/2018,21.2,12,16.6,14.5,65.5,63.8
08/2018,18.9,11.4,15.1,14.1,79.1,84.1
09/2018,16.1,8.7,12.4,11.9,77.7,104.8
10/2018,13.1,6.6,9.8,10.5,74.9,113.8
11/2018,9.9,5.1,7.5,9.4,82.5,136.4
12/2018,8.4,4.3,6.3,8.8,91.2,124.7
01/2019,6.6,1.9,4.2,7.2,86.9,69.2
02/2019,9.3,3.2,6.2,8.3,78.3,75.8
03/2019,10,3.8,6.8,8.2,79.9,124.3
04/2019,12.7,4.5,8.6,8.6,72.7,56.5
05/2019,14.2,5.6,9.9,9.7,75.8,68.6
06/2019,17.3,9.4,13.3,12.4,76.9,112.1
07/2019,20.1,12,16,14.9,73.5,86
08/2019,19.5,11.8,15.6,14.5,73.9,128.9
09/2019,16.8,9.5,13.1,12.7,74.8,131.8
10/2019,12.3,6.6,9.4,10.3,79.4,149.1
11/2019,8.3,3.4,5.8,8.5,85.8,157.8
12/2019,7.9,3.3,5.6,8.3,86.8,135.9
01/2020,8.1,3.7,5.9,8.4,87.8,108.5
02/2020,7.9,2.6,5.2,7.7,82.7,200.8
03/2020,9.1,2.5,5.8,7.4,73.6,74
04/2020,13.4,4.4,8.9,8.5,60.1,32.3
05/2020,16,6.4,11.2,9.7,59.2,31.7
06/2020,17.7,9.9,13.8,12.8,78.3,98.7
07/2020,17.9,10.5,14.2,13.1,78.2,103.8
08/2020,19.4,12,15.6,14.8,79.4,123.4
09/2020,16.9,9.1,13,12.5,75,89.7
10/2020,12.4,6.9,9.6,10.5,82.6,209.4
11/2020,10.5,5.7,8,9.8,85.8,102.2
12/2020,7.1,2.8,4.9,8.1,88.1,184.7
01/2021,5.2,0.6,2.9,6.9,86,150.5
02/2021,6.9,2,4.4,7.4,83.2,103.1
03/2021,9.7,3.4,6.5,8.1,81.4,82.1
04/2021,10.6,1.5,6,6.9,61.4,25.5
05/2021,13.3,5.1,9.2,9.4,78.7,120.7
06/2021,18.1,9.9,14,12.8,76,46.7
07/2021,20.2,12.2,16.2,15.3,74.7,73.2
08/2021,18.6,11.4,15,14.3,81.8,70.7
09/2021,18.1,10.9,14.5,14.2,81.3,95.4
10/2021,13.9,8.1,11,11.7,81.3,193.4
11/2021,10,4.8,7.4,9.2,85,83.4
12/2021,7.8,3.5,5.6,8.5,90.9,126.5
01/2022,7.7,2.9,5.3,7.8,83.1,60.3
02/2022,8.4,3,5.7,7.9,83,149.2
03/2022,10.4,3.2,6.8,7.9,66.4,57.9
04/2022,12.1,4.1,8.1,8.5,72.2,61.4
05/2022,15.7,7.8,11.8,11,80,80.1
06/2022,18.1,9.8,13.9,12.2,72.9,59
07/2022,20.4,11.8,16.1,13.9,74.3,43.3
08/2022,20.7,11.9,16.3,14.2,65.3,47.7
09/2022,17.1,9.8,13.4,12.9,80,128.5
10/2022,14.6,8.8,11.7,12,77.2,164.3
11/2022,10.9,6.1,8.5,10.1,84.8,181.1
12/2022,6.1,1.2,3.7,7.3,85.3,143.6
