month_year,maxTemp,minTemp,meanTemp,vapPress,cldCover,precipitation
03/1915,7.7,1.1,4.4,7,77.5,62.5
04/1915,10.9,3.3,7,8.3,72.4,67.7
05/1915,13.9,4.8,9.3,9.2,64.7,53
06/1915,17.4,8,12.7,11.4,65.4,40.4
07/1915,17.2,9.5,13.3,12.9,76.1,127.6
08/1915,17.7,10.3,14,14,75.9,80.6
09/1915,16.4,8.3,12.3,12.2,71.5,69.4
10/1915,11.7,5.4,8.5,10.1,79.3,83.2
11/1915,6.2,0.4,3.3,7.1,81.3,92.5
12/1915,6.5,1.5,3.9,7.1,87,205.9
01/1916,8.9,3.7,6.3,8.3,85.2,109.3
02/1916,5.8,0.3,3.1,6.7,80.7,144.4
03/1916,5.7,0.1,2.9,6.6,83,96.3
04/1916,11,3,7,8.2,70.3,73.8
05/1916,14,5.7,9.8,9.7,69.5,100.1
06/1916,14.6,7.1,10.8,11,77.1,82.1
07/1916,17.9,10.1,14,13.4,75.4,75.2
08/1916,18.8,10.8,14.8,13.8,72.7,91.2
09/1916,15.7,8.9,12.3,12.4,77.4,59.6
10/1916,12.3,6.5,9.4,10.4,81.7,185.1
11/1916,9.1,4.2,6.6,9.1,84.8,139.4
12/1916,5.4,0.6,3,7.1,88.2,124.4
01/1917,3.6,-0.4,1.6,6.5,89.6,84.1
02/1917,4.6,-1.3,1.6,6.3,78.6,40.4
03/1917,6,0,3,6.6,80.6,82
04/1917,8.4,0.8,4.6,7.1,73.6,65.2
05/1917,15.1,6.1,10.6,9.8,64.9,72.4
06/1917,17.5,8.5,13,11.9,68.4,75
07/1917,19,10.4,14.7,13.5,72.2,62.5
08/1917,18,11,14.5,14.4,78.8,160.3
09/1917,16.4,9.2,12.8,12.7,75.6,80.8
10/1917,10.3,3.5,6.9,8.9,76.6,183
11/1917,9.9,4.8,7.3,9,85,137.8
12/1917,5.2,0,2.6,6.8,86.4,75.8
01/1918,5.5,0.4,3,6.5,85.4,115.7
02/1918,8.2,3.2,5.7,8,83.2,109.8
03/1918,8.6,1.6,5.1,7.4,74.7,47
04/1918,9.9,2.6,6.2,8,75.8,49.9
05/1918,15.7,6.7,11.2,10.6,64.9,68.2
06/1918,16.5,7.6,12,11.4,69,47.2
07/1918,18.1,9.9,14,13.3,73.5,128.8
08/1918,18.4,10.9,14.6,14.3,75.3,92.1
09/1918,13.8,7.1,10.4,11.2,78.1,196.4
10/1918,11.6,5.5,8.5,10.1,80.4,112.8
11/1918,8.4,2.4,5.4,8.2,80.6,99.3
12/1918,8.2,3.4,5.8,8.1,88.1,149.2
01/1919,5.3,0.8,3.1,7.1,88.1,134.2
02/1919,4.6,-0.6,2,6.3,82.1,64.1
03/1919,6,-0.4,2.8,6.4,79,123
04/1919,10.2,2.9,6.5,8.2,74.8,85.5
05/1919,16,6.8,11.3,10.5,63.8,31.4
06/1919,16.6,8.3,12.4,11.9,72.4,71.7
07/1919,16.8,9.2,12.9,13,76.4,48.3
08/1919,18.3,10.3,14.2,13.6,72.2,93.4
09/1919,15.7,8,11.8,11.9,73.7,91.2
